"Geographic Area Name (NAME)","2012 NAICS code (NAICS2012)","Meaning of NAICS code (NAICS2012_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Paid employees for pay period including March 12 (number) (EMP)","First-quarter payroll ($1,000) (PAYQTR1)","Annual payroll ($1,000) (PAYANN)"
"Utah","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","237","1,609","5,813","24,837"
"Utah","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","124","827","3,006","13,596"
"Utah","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","18","133","571","2,205"
"Utah","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","30","405","1,331","5,623"
"Utah","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","87","1,208","4,137","16,572"
"Utah","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","188","2,584","9,367","40,720"
"Utah","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","16","231","725","2,839"
"Utah","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","321","4,428","15,560","65,754"
"Utah","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","142","4,657","18,160","70,696"
"Utah","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","199","6,318","22,957","100,757"
"Utah","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","96","3,302","14,443","51,236"
"Utah","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","25","699","2,725","11,456"
"Utah","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","462","14,976","58,285","234,145"
"Utah","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","8","647","3,517","11,971"
"Utah","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","161","10,700","50,353","194,530"
"Utah","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","44","3,032","14,413","55,034"
"Utah","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","68","4,495","21,267","81,005"
"Utah","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","41","2,526","11,156","46,520"
"Utah","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","15","1,980","8,205","33,161"
"Utah","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","36","4,732","22,037","87,907"
"Utah","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","16","2,100","10,789","42,117"
"Utah","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","5","652","3,043","12,629"
"Utah","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"Utah","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"Utah","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Utah","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Vermont","722511","Full-service restaurants","S-corporations","All establishments","2016","319","5,551","25,788","107,694"
"Vermont","722511","Full-service restaurants","Non-profit","All establishments","2016","1","0 to 19 employees","D","D"
"Vermont","722511","Full-service restaurants","All establishments","All establishments","2016","665","10,724","49,076","209,654"
"Vermont","722511","Full-service restaurants","Partnerships","All establishments","2016","143","2,473","11,719","50,784"
"Vermont","722511","Full-service restaurants","Corporations","All establishments","2016","89","1,780","7,988","34,501"
"Vermont","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","113","919","3,580","16,670"
"Vermont","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","1","0 to 19 employees","D","D"
"Vermont","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","164","306","1,191","9,080"
"Vermont","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","36","69","275","2,550"
"Vermont","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","57","104","332","2,280"
"Vermont","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","54","95","376","2,670"
"Vermont","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","16","37","207","1,575"
"Vermont","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","0","0","0","0"
"Vermont","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","50","338","1,439","6,133"
"Vermont","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","120","810","3,290","13,341"
"Vermont","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","27","188","737","2,834"
"Vermont","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","20","138","583","2,218"
"Vermont","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","23","146","531","2,156"
"Vermont","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","20","278","1,098","5,129"
"Vermont","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","41","548","2,465","9,202"
"Vermont","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","21","312","1,282","5,063"
"Vermont","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","108","1,527","7,285","28,164"
"Vermont","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","190","2,665","12,130","47,558"
